title,abstract,authors,date,publisher,keywords,doi,url
Synthesis of CsxWO3 nanoparticles and their NIR shielding properties,"A simple two-step route is developed to fabricate hexagonal CsxWO3 nanoparticles. The core of this route is the preparation of the precursor by drying the mixture of WO3 sol and CsCl, which leads to a higher Cs/W (0.32) ratio at low temperature in a short time. During reaction, oleic acid, used as a solvent, can be adsorbed on the surface of CsxWO3 nanoparticles, which results in small particle size (20 nm × 10 nm) and mild agglomeration. In addition, oleic acid also plays a role as a reducing agent in forming CsxWO3 nanoparticles without any further post-treatment. Furthermore, the film prepared from as-synthesized Cs0.32WO3 nanoparticles shows excellent NIR-shielding properties (approximately 99% of the near-infrared radiation is cut off over a wavelength range of 780–2600 nm and the visible-light transmittance at 465 nm is 78.9%) when covering on an ordinary sheet of glass. A model which simulates the real environment is applied to evaluate heat-shielding performance of the Cs0.32WO3 film while comparing with that of ordinary glass and commercial ITO glass (10 Ω □−1). Results revealed that the Cs0.32WO3 film showed superior performance than others.","Yao, Yongji;Zhang, Liangmiao;Chen, Zhang;Cao, Chuanxiang;Gao, Yanfeng;Luo, Hongjie",2018-08-15,Ceramics International,"Near-infrared radiation,Transparent coating,CsxWO3 nanoparticles,Solar filter",10.1016/j.ceramint.2018.04.158,https://doi.org/10.1016/j.ceramint.2018.04.158
Ablation resistance of ZrB2–SiC coating prepared by supersonic atmosphere plasma spraying for SiC-coated carbon/carbon composites,"To improve the ablation resistance of carbon/carbon (C/C) composites, ZrB2–SiC coating was prepared on the surface of SiC-coated C/C composites by supersonic atmosphere plasma spraying. Ablation resistance of the coating was investigated by oxyacetylene torch under different heat flux. Results show that the multilayer coating is dense and its thickness is about 60μm. The mass and linear ablation rates of the coated C/C composites are 0.4×10−3 g/s and 0.6μm/s after ablation for 60s under the heat flux of 2400kW/m2. However, the coating is failure after ablation for 60s under the heat flux of 4200kW/m2. The good ablation resistance of the coating under the heat flux of 2400kW/m2 is mainly attributed to the formation of a dense ZrO2–SiO2 scale, which could act as thermal barrier and reduce inward diffusion of oxygen.","Zhang, Yulei;Hu, Zhixiong;Li, Hejun;Ren, Jincui",2014-11-30,Ceramics International,"Carbon/carbon composites,Coating,Supersonic atmosphere plasma spraying,Ablation",10.1016/j.ceramint.2014.06.064,https://doi.org/10.1016/j.ceramint.2014.06.064
Porous alumina coatings on carbon-bonded foam filters by electrophoretic deposition,"Carbon-bonded foam-filters, such as alumina-carbon foams, are widely used for the filtration of metal melts. The aim of the experimental investigations reported in this paper was to examine the possibility of producing alumina coatings with a porous structure on such alumina-carbon foams by an electrophoretic deposition method. This method utilizes the simultaneous gas evolution by electrolysis to generate channel-like pores during the formation of ceramic layers by the electrophoretic deposition from aqueous suspensions. The foam samples to be coated were found to possess a sufficiently high electrical conductivity to function as deposition electrode. Using an aqueous suspension of a submicron alumina powder with an anionic polyelectrolyte as dispersant, coatings containing the desired pore channels were successfully produced on these foam samples. Voltages of 10 or 15 V proved suitable for the pore formation, as illustrated by tomographic 2D slices of the coated foams and by images that were taken by means of a digital microscope. First tests showed that the sintered coatings were able to resist the thermal shock to which they were exposed by immersing them into an aluminium melt.","Moritz, Kirsten;Dietze, Christin;Voigt, Claudia;Hubálková, Jana;Aneziris, Christos G.",2019-06-01,Ceramics International,"Electrophoretic deposition,Non-destructive evaluation,Al2O3",10.1016/j.ceramint.2019.02.141,https://doi.org/10.1016/j.ceramint.2019.02.141
Microstructure and wear behavior of graphene nanosheets-reinforced zirconia coating,"Zirconia/graphene nanosheets (ZrO2/GNs) composite coatings were prepared using a plasma spraying technique. Microscopic observations showed that the GNs additives (1wt%) were homogeneously distributed in the ZrO2 matrix and most of them were anchored at the splat interface. The results of wear test indicated that the ZrO2/GNs composite coating exhibited excellent wear resistance and low friction coefficient with the addition of GNs. The wear rate of ZrO2/GNs coating reduced to 1.17×10−6 mm3/Nm at 100N, which corresponded to a 50% decrease compared with the pure ZrO2 coating. Interestingly, a GNs-rich transfer layer was observed on the wear track of ZrO2/GNs coating by field-emission scanning electron microscope (FESEM), energy dispersive spectroscopy (EDS), transmission electron microscope (TEM) and micro-Raman spectroscopy. This layer protected the ZrO2/GNs composite coatings from severe wear by brittle microfracture, which significantly improved their tribological performance.","Li, Hongqing;Xie, Youtao;Li, Kai;Huang, Liping;Huang, Shansong;Zhao, Bizeng;Zheng, Xuebin",2014-09-30,Ceramics International,"Graphene nanosheets,Plasma spray,Wear behavior,Transfer layer",10.1016/j.ceramint.2014.04.136,https://doi.org/10.1016/j.ceramint.2014.04.136
Improvement in the cycling stability and rate capability of LiNi0.5Co0.2Mn0.3O2 cathode material via the use of a Ta2O5 coating,"The electrochemical properties of the layered structure LiNi0.5Co0.2Mn0.3O2 (NCM523) material decrease at an elevated cut-off voltage. The Ta2O5 coating method effectively enhances the surface stability of NCM523. The present study used Ta2O5 as a hydrofluoric acid (HF) barrier material to effectively resist HF attacks on NCM523. The electrochemical properties of Ta2O5-coated NCM523 were enhanced at a normal cut-off voltage of 4.3 V and an elevated cut-off voltage of 4.5 V. With the optimal amount of Ta2O5 coating (1.0 wt%), the capacity retention increased from 91.36% to 97.6% at 3–4.3 V after 210 cycles and from 88% to 92.45% after 210 cycles at 3–4.5 V. The Ta2O5 (1.0 wt%)-coated sample also exhibited a higher rate capability and maintained discharge capacities of 107 mAh g-1 and 125 mAh g-1 over the voltage ranges of 3–4.3 V and 3–4.5 V, respectively, at a current of 5C. The improvement in the electrochemical cycling performance is attributed to the effects of the Ta2O5 coating layer, which mitigates the Mn and Ni dissolution and side reactions caused by HF. The coating layer prevents the active material and the electrolyte from being in direct contact and promotes Li+ transmission. These effects produced a better cycling performance for Ta2O5-coated than the pristine NCM523.","He, Yulin;Li, Ying;Xu, Chaoxiang;Zhu, Mingyuan;Li, Wenxian",2020-07-31,Ceramics International,"Ta2O5 coating,Cycling stability,Rate capability improvement,LiNi0.5Co0.2Mn0.3O2",10.1016/j.ceramint.2020.03.020,https://doi.org/10.1016/j.ceramint.2020.03.020
"Influence of Bi3+ as a sensitizer and SiO2 shell coating as a protecting layer towards the enhancement of red emission in LnVO4: Bi3+, Eu3+ @ SiO2 (Ln=Gd, Y and Gd/Y) powder phosphors for optical display devices","Enhanced red luminescence in LnVO4: Bi3+, Eu3+ @ SiO2 phosphors has been improved mainly in three stages by investigating the effects of: (i) host composition (Gd, Y and Gd/Y), (ii) co-doping Bi3+ as a sensitizer and finally (iii) SiO2 shell coating. XRD data revealed that the produced phosphors possess crystalline, pure phase with tetragonal structure. Silica coating on phosphor particles have been characterized by SEM/EDAX, TEM, PL and with the presence Si–O–Si, Si–O vibrational modes from the FT-IR spectra. Absorption band edges due to VO4 3−, shifted to higher wavelength with Bi-concentration, owing to the presence of Bi–O bond in addition to V–O. The emission intensities of 5D0→7F2 transition are stronger than 5D0→7F1; indicating the lower inversion symmetry near Eu3+, ions. Red emission intensity due to the efficient energy transfer from VO4 3− to Eu3+ via Bi3+ ions in Y0.949VO4: Bi3+ 0.001, Eu3+ 0.05 phosphor was improved significantly, i.e. 1.6 times compared to Y0.95VO4: Eu3+ 0.05. This was further enhanced 2.25 times by SiO2 shell coating. Thus, Y0.949VO4: Bi3+ 0.001, Eu3+ 0.05 @ SiO2 are suggested to be a promising red phosphor for application in display devices or lighting.","Rambabu, U.;Munirathnam, N.R.;Chatterjee, S.;Sudhakar Reddy, B.;Han, Sang-Do",2013-07-31,Ceramics International,"A. Powder: Chemical preparation,C. Color,C. Optical properties",10.1016/j.ceramint.2012.11.070,https://doi.org/10.1016/j.ceramint.2012.11.070
The tribological and electrochemical behavior of HVOF-sprayed Cr3C2–NiCr ceramic coating on carbon steel,"High Velocity Oxygen Fuel (HVOF) is an excellent approach to prepare a good, wear-resistant lamella of Chromium Carbide-Nickel Chrome (Cr3C2–NiCr) on carbon steel for high temperature application. This research investigates the effect of a thin, deposited layer of Cr3C2-NiCr on carbon steel in terms of wear and corrosion properties. The microstructure of the HVOF-sprayed Cr3C2–NiCr coating was characterized at each step by scanning electron microscopy. Wear testing was performed with a pin-on-disk tester. Wear weight loss was examined by applying different loads over a 9048.96m sliding distance. Experimental results show that the wear resistance of the coated sample reduced the risk of seizure compared to the uncoated sample. An electrochemical test was also performed and the behavior of the substrate in the coated sample was investigated in 3.5% NaCl for 27 days. Electrochemical Impedance Spectroscopy (EIS) showed that the HVOF coating has high corrosion resistance and protects the substrate from NaCl electrolyte penetration. So deposition this layer of ceramic composite is protected oil piping from synergistic attack of seawater during the transport of crude oil to the refinery.","Akhtari Zavareh, Mitra;Sarhan, Ahmed Aly Diaa Mohammed;Razak, Bushroa BintiAbd;Basirun, Wan Jeffrey",2015-05-31,Ceramics International,"High velocity oxygen fuel,Cr3C2–20NiCr coating,Tribological properties,Electrochemical techniques",10.1016/j.ceramint.2014.12.102,https://doi.org/10.1016/j.ceramint.2014.12.102
Effects of upgrading temperature on electromagnetic shielding properties of three-dimensional graphene/SiBCN/SiC ceramic composites,"SiC coating is introduced using MTS-H2-Ar system via chemical vapor deposition technology. SER and SET of the composites increased from 7.5 dB to 18.9 dB–9.1 dB and 20.8 dB, respectively, due to the deposition of SiC coating. The influence of oxidation temperature on microstructure and electromagnetic interference shielding performance has been systematically investigated. The morphology of GF/SiBCN/SiC composite remained unchanged after oxidation at 900 °C. However, condensed particles which distributed around cauliflower-like structure disappeared and were replaced by some small particles with increasing temperature. The GF/SiBCN/SiC ceramic composites exhibited mass loss after oxidation at 900 °C initially and saw a slight mass gain afterwards. Graphene layers kept their integral structure and SET retention rate of 97% and 93% have been recorded after oxidation at 900 °C and 1100 °C for 10 h, respectively.","Wang, Chenhao;Liu, Yongsheng;Zhao, Mingxi;Ye, Fang;Cheng, Laifei",2019-12-01,Ceramics International,"Three-dimensional graphene foam,Silicon carbide (SiC) coating,Oxidation temperature,Electromagnetic interference shielding,SiBCN",10.1016/j.ceramint.2019.07.110,https://doi.org/10.1016/j.ceramint.2019.07.110
Effect of TaC and NbC addition on the microstructure and hardness in graded cemented carbides: Simulations and experiments,"By using the gradient sintering process, a tough surface zone in the cemented carbides is usually created to prevent crack propagation from the hard-coating. The microstructure and hardness distribution in the gradient zone are crucial to crack propagation resistance. In the present work, the influence of TaC and NbC contents on the microstructure and hardness distribution in WC–Ti(C,N)–Co-based graded cemented carbides was chosen as the target and systematically studied via a hybrid approach of the simulations and key experiments. Under the guide of the thermodynamic calculation, the cemented carbides with different TaC and NbC addition have been designed and sintered at 1450°C for 2h in an N free atmosphere. The microstructure and concentration distributions were investigated using scanning electron microscopy (SEM) and electron probe microanalysis (EPMA). Based on the thermodynamic and diffusion databases, the gradient zone formation of the cemented carbides was simulated by DICTRA software. The simulation can reasonably reproduce most of the experimental concentration profiles. Microindentation was used to measure hardness as a function of depth below the surface. On the basis of the simulations and experiments, key microstructural parameters in the hardness model were obtained to predict the hardness distribution in the gradient layer. The relationship among the composition, concentration and hardness distribution can be developed via the present approach.","Zhang, Weibin;Du, Yong;Peng, Yingbiao",2016-01-31,Ceramics International,"A. Sintering,C. Hardness,D. Carbides,E. Cutting tools",10.1016/j.ceramint.2015.08.127,https://doi.org/10.1016/j.ceramint.2015.08.127
Effect of film thickness and annealing temperature on the structural and optical properties of ZnO thin films deposited on sapphire (0001) substrates by sol–gel,"ZnO thin films were prepared on sapphire (0001) substrates by the dip-coating sol–gel technique. Then, ZnO thin films with thicknesses of 50nm, 150nm, 250nm, and 350nm were annealed at 800°C and with thickness of 250nm were annealed at 600°C, 700°C, 800°C, and 900°C, respectively. The effect of film thickness and annealing temperature on the structure and optical properties of sol–gel ZnO thin films on sapphire substrates were investigated by XRD, SEM, RT-PL. All the sol–gel ZnO thin films show polycrystalline hexagonal wurtzite structure and a high preferential c-axis orientation. The XRD and SEM results show that the better structural quality, high c-axis preferred orientation, uniform, compact sol–gel ZnO thin films 250nm thick were obtained when annealed at 700°C in air. Room-temperature PL spectrum of sol–gel ZnO thin films can be divided into the UV emission and the visible broad band emission. The UV emission can be attributed to the near band edge emission (NBE) and the visible broadband emission can be ascribed to the deep level emissions (DLE). The visible emission is suppressed with the annealing temperature of 600–700°C. By analyzing our experimental results, we concluded that the deep-level emission corresponds to oxygen vacancies (V O ). The biggest ratio of the PL intensity of UV emission to that of visible emission (I NBE/I DLE) is observed from sol–gel ZnO thin films 250nm thick annealed at 700°C. Therefore, we suggest that film thickness of 250nm and annealing temperature of 700°C are the most suitable conditions for obtaining high quality, high c-axis preferred orientation, uniform, compact sol–gel ZnO thin films with good luminescence performance.","Cui, Lin;Wang, Gui-Gen;Zhang, Hua-Yu;Sun, Rui;Kuang, Xu-Ping;Han, Jie-Cai",2013-04-30,Ceramics International,"ZnO,Sol–gel,Annealing,X-ray diffraction",10.1016/j.ceramint.2012.10.014,https://doi.org/10.1016/j.ceramint.2012.10.014
Molten salt attack on multilayer and functionally-graded YSZ coatings,"Thermal barrier coatings have been extensively studied in the last years in order to increase the operational temperature of the current gas turbines as well as to improve the coating lifetime. Many coating characteristics must be met to achieve these requirements (low thermal conductivity, high thermal fatigue resistance…); therefore, complex systems have been engineered for these purposes. One of the possibilities to optimise the different properties deals with the design of multilayer or functionally-graded coatings where various types of microstructures with different characteristics are combined. One of the most important cause of gas turbines degradation relates to the attack of different type of particles which are suspended in the atmosphere (sand, fly ash…). These solid particles are molten at the operational temperatures and then, the molten salts chemically react with the coating. For this reason, the present research was focused on this type of attack. In the present work, the molten salt attack of various YSZ coatings with multilayer and functionally-graded design was addressed. Two different type of microstructures were specifically combined for this design: the APS coating microstructure obtained from conventional (microstructured) powder and a bimodal structure with nanozones obtained from nanostructured feedstock. Besides, different salts were used to simulate different attack environments (desert sand and volcanic fly ash). Findings show that nanozones act as barrier against the penetration of molten salts toward deeper layer. However, a layer formed by nanozones can detach when the salt attack is too aggressive. Hence, functionally-graded coatings, where two types of microstructures are combined through the whole coating, become ideal to diminish the molten salt attack.","Carpio, Pablo;Salvador, M. Dolores;Borrell, Amparo;Navarro, Lucia;Sánchez, Enrique",2018-08-01,Ceramics International,"A. Thermal spray deposition,C. Chemical properties,D. ZrO2,E. Thermal applications",10.1016/j.ceramint.2018.04.062,https://doi.org/10.1016/j.ceramint.2018.04.062
Performance of a ceramic frit anti-oxidation coating on a MgO–C refractory brick,"In steel production, ladles must be preheated to minimize the heat loss of the steel melt, prevent thermal shock of refractory bricks (MgO–C), and to maximize the lining life of ladle. Partial oxidation of MgO–C bricks begins in the graphite bond during the preheating. Oxidation of graphite bond also causes a decrease in performance of the bricks because of an increase in the brick porosity. In this article, coating on a MgO–C brick surface by a ceramic film to protect against carbon oxidation was studied. Coated and un-coated bricks were heated at 1200°C, cooled to room temperature, then the brick properties investigated. The oxidization resistance properties of brick with coating were much better than those without coating, which should lead to longer refractory service life.","Aslanoğlu, Z.",2011-12-31,Ceramics International,"Anti oxidation coating,Ceramic film,MgO–C brick,Oxidation",10.1016/j.ceramint.2011.05.147,https://doi.org/10.1016/j.ceramint.2011.05.147
